course_url,course_name,instructor_name,course_provider,course_level,course_certificate,course_subject,course_is_university,course_avg_rating,course_num_rating,course_institution,course_is_classroom,course_is_free,course_id,course_type,course_provider_url,description,duration,start_date,pricing,image_url,rating,is_free,language
https://www.classcentral.com/course/coding-stanford-university-automata-theory-376,Automata Theory,N/A,edX,advanced,False,Automata Theory,True,4,20,Stanford University,False,True,376,course,N/A,"Explore finite automata, context-free grammars, Turing machines, and intractable problems in this comprehensive study of theoretical computer science foundations.","7 weeks, 5-10 hours a week",On-Demand,Free Online Course (Audit),https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/96b800e98632.png,4 out of 5 stars,Yes,English
https://www.classcentral.com/course/automata-system-validation-6825,System Validation: Automata and behavioural equivalences,N/A,Coursera,intermediate,True,Automata Theory,False,0,0,EIT Digital,False,True,6825,course,N/A,"Explore automata and behavioral equivalences for system validation. Learn to model and analyze system behavior, understand equivalences, and design structurally sound embedded systems.",4 hours 10 minutes,On-Demand,Free Online Course (Audit),https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/8beaba48faf3.png,No rating available,Yes,English
https://www.classcentral.com/course/udemy-formal-languages-and-automata-theory-e-69998,Formal Languages and Automata Theory,N/A,Udemy,beginner,True,Automata Theory,False,0,0,,False,False,69998,course,N/A,"Introduction to Automata Theory, Languages and Computation",31 hours,On-Demand,Paid Course,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/6ffaf7e1f3a4.jpg,No rating available,No,English
https://www.classcentral.com/course/udemy-theory-of-automata-and-computation-69897,Theory of Automata and Computation,N/A,Udemy,beginner,True,Automata Theory,False,0,0,,False,False,69897,course,N/A,"Theory of Automata/Computation, Formal Languages, DFA, NFA, CFG, CFL, Pushdown Automata, Turing Machine, Undecidability",3 hours 28 minutes,On-Demand,Paid Course,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/9a1e1bd09748.jpg,No rating available,No,English
https://www.classcentral.com/classroom/youtube-computer-theory-of-automata-formal-languages-and-computation-47637,"Theory of Automata, Formal Languages and Computation","NPTEL, IIT Madras",YouTube,,False,Automata Theory,True,5,1,NPTEL,True,True,47637,course,N/A,"Explore automata theory, formal languages, and computation through grammars, finite state automata, pushdown automata, Turing machines, and advanced topics in theoretical computer science.",1 day 15 hours,On-Demand,Free Video,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/2b284f8052c7.jpg,5 out of 5 stars,Yes,English
https://www.classcentral.com/classroom/youtube-greibach-normal-form-gnf-and-conversion-of-context-free-grammar-to-gnf-in-automata-theory-toc-217102,Greibach Normal Form and Conversion of Context Free Grammar to GNF in Automata Theory,Sundeep Saradhi Kanthety,YouTube,,False,Automata Theory,False,5,1,Sundeep Saradhi Kanthety,True,True,217102,course,N/A,Explore Greibach Normal Form and learn how to convert context-free grammars to GNF. Gain insights into this important concept in automata theory and formal language processing.,27 minutes,On-Demand,Free Video,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/f6218035abab.jpg,5 out of 5 stars,Yes,English
https://www.classcentral.com/classroom/youtube-learning-automata-with-hankel-matrices-borja-balle-amazon-research-cambridge-141724,"Learning Automata with Hankel Matrices - Borja Balle, Amazon Research Cambridge",Alan Turing Institute,YouTube,,False,Automata Theory,False,0,0,Alan Turing Institute,True,True,141724,course,N/A,"Explore a unified framework for learning automata using Hankel matrices, covering query learning, spectral learning, and matrix completion algorithms with practical applications.",41 minutes,On-Demand,Free Video,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/a816508ab088.jpg,No rating available,Yes,English
https://www.classcentral.com/classroom/youtube-deterministic-finite-automata-137813,Deterministic Finite Automata,Ryan O'Donnell,YouTube,,False,Automata Theory,False,0,0,Ryan O'Donnell,True,True,137813,course,N/A,"Explore deterministic finite automata, their structure, and applications in computer science. Learn to construct DFAs, understand regular languages, and solve computational problems.",1 hour 21 minutes,On-Demand,Free Video,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/8e77ab345b15.jpg,No rating available,Yes,English
https://www.classcentral.com/classroom/youtube-great-ideas-in-theoretical-computer-science-finite-automata-spring-2015-137822,Great Ideas in Theoretical Computer Science: Finite Automata,Ryan O'Donnell,YouTube,,False,Automata Theory,False,0,0,Ryan O'Donnell,True,True,137822,course,N/A,"Explore finite automata and regular languages in theoretical computer science, covering DFAs, computation concepts, and language analysis techniques.",1 hour 19 minutes,On-Demand,Free Video,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/bdf6ac0bbb38.jpg,No rating available,Yes,English
https://www.classcentral.com/classroom/youtube-formal-languages-and-automata-for-reward-function-specification-and-efficient-reinforcement-learning-134439,Formal Languages and Automata for Reward Function Specification and Efficient Reinforcement Learning,Simons Institute,YouTube,,False,Automata Theory,False,0,0,Simons Institute,True,True,134439,course,N/A,"Explore formal languages and automata for specifying reward functions in reinforcement learning, focusing on Linear Temporal Logic and Reward Machines to address real-world RL challenges.",1 hour 24 minutes,On-Demand,Free Video,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/497def9974c3.jpg,No rating available,Yes,English
