course_url,course_name,instructor_name,course_provider,course_level,course_certificate,course_subject,course_is_university,course_avg_rating,course_num_rating,course_institution,course_is_classroom,course_is_free,course_id,course_type,course_provider_url,description,duration,start_date,pricing,image_url,rating,is_free,language
https://www.classcentral.com/classroom/youtube-what-is-competitive-programming-cp-how-to-get-started-with-cp-as-a-beginner-honest-talk-190231,Introduction to Competitive Programming - Getting Started for Beginners,Simple Snippets,YouTube,,False,Competitive Programming,False,0,0,Simple Snippets,True,True,190231,course,N/A,"Comprehensive guide to competitive programming: definition, benefits, prerequisites, and tips for beginners. Covers evaluation criteria, languages, and data structures.",24 minutes,On-Demand,Free Video,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/5b55999645fe.jpg,No rating available,Yes,English
https://www.classcentral.com/classroom/youtube-battlesnake-with-joe-nash-learn-with-jason-210862,Battlesnake: Coding Your Own AI Snake Game,Learn With Jason,YouTube,,False,Competitive Programming,False,0,0,Learn With Jason,True,True,210862,course,N/A,"Explore Battlesnake, an evolved version of the classic snake game. Code your own AI-powered snake and compete in this exciting programming challenge.",1 hour 29 minutes,On-Demand,Free Video,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/29d429e74549.jpg,No rating available,Yes,English
https://www.classcentral.com/course/udemy-competitive-programming-algorithms-coding-m-70201,"Competitive Programming Essentials,  Master Algorithms",N/A,Udemy,beginner,True,Algorithms and Data Structures,False,0,0,,False,False,70201,course,N/A,"Master competitive coding techniques - maths, number theory, dynamic programming, advanced data structures &amp; algorithms",2 days 8 hours 42 minutes,On-Demand,Paid Course,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/9f13c20c906b.jpg,No rating available,No,English
https://www.classcentral.com/course/udemy-leetcode-in-python-50-algorithms-coding-int-68925,50 days of LeetCode in python: Algorithms coding interview,N/A,Udemy,intermediate,True,Python,False,0,0,,False,False,68925,course,N/A,"Practice data structure and algorithms questions for interviews at FAANG companies like Google, Facebook, Apple &amp; Amazon",1 day 5 hours 15 minutes,On-Demand,Paid Course,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/83beaf3fc63d.jpg,No rating available,No,English
https://www.classcentral.com/course/udemy-algorithmic-problems-in-java-66947,"Recursion, Backtracking and Dynamic Programming in Java",N/A,Udemy,beginner,True,Java,False,0,0,,False,False,66947,course,N/A,"Competitive Programming with Common Interview Questions (Recursion, Backtracking and Divide and Conquer Algorithms)",14 hours 47 minutes,On-Demand,Paid Course,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/e6b8cd580e20.jpg,No rating available,No,English
https://www.classcentral.com/course/udemy-the-bible-of-algorithms-and-interview-quest-42730,The Bible of Competitive Programming & Coding Interviews,N/A,Udemy,beginner,True,Programming,False,0,0,,False,False,42730,course,N/A,Build the foundation in Algorithms and Data Structures to ace Competitive Programming & Coding Interviews,23 hours 6 minutes,On-Demand,Paid Course,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/4ea822d72af7.jpg,No rating available,No,English
https://www.classcentral.com/course/udemy-algorithmic-problems-in-python-41494,"Recursion, Backtracking and Dynamic Programming in Python",N/A,Udemy,beginner,True,Python,False,0,0,,False,False,41494,course,N/A,"Learn Competitive Programming, Recursion, Backtracking, Divide and Conquer Methods and Dynamic Programming in Python",15 hours 47 minutes,On-Demand,Paid Course,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/2bec14cb1fbb.jpg,No rating available,No,English
https://www.classcentral.com/course/udemy-dscpp-skills-131063,Mastering critical SKILLS in Data Structures using C++,N/A,Udemy,beginner,True,Algorithms and Data Structures,False,0,0,,False,False,131063,course,N/A,Understand DS inner details & design decisions effects + Solve ~130 problems to enhance your problem-solving skills,20 hours,On-Demand,Paid Course,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/da0e6772b2d6.jpg,No rating available,No,English
https://www.classcentral.com/course/udemy-graph-theory-algorithms-for-competitive-pro-89120,Graph Theory Algorithms for Competitive Programming (2022),N/A,Udemy,beginner,True,Graph Theory,False,0,0,,False,False,89120,course,N/A,"Learn Graphs Algorithms in Computer Science & Mathematics, theory + hands-on coding and ace Competitive Coding problems!",23 hours,On-Demand,Paid Course,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/f56da07e128a.jpg,No rating available,No,English
https://www.classcentral.com/course/udemy-competitive-programming-using-python-125238,Beginner's guide to Competitive programming using python,N/A,Udemy,beginner,True,Python,False,0,0,,False,False,125238,course,N/A,Ace coding interviews by learning how to code in a simple and efficient way,1 hour 13 minutes,On-Demand,Paid Course,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/5babe0dd5e3a.jpg,No rating available,No,English
https://www.classcentral.com/course/udemy-game-theory-algorithms-in-competitive-progr-89006,Game Theory Algorithms in Competitive Programming (2022),N/A,Udemy,beginner,True,Algorithms and Data Structures,False,0,0,,False,False,89006,course,N/A,"Dive deep into game theory algorithms, learn & apply these techniques for Codeforces & Competitive Programming problems!",8 hours,On-Demand,Paid Course,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/3d2a4605ea44.jpg,No rating available,No,English
https://www.classcentral.com/course/udemy-competitive-programming-57139,Competitive Programming,N/A,Udemy,beginner,True,Software Development,False,0,0,,False,False,57139,course,N/A,Master the Theory and Application of Algorithms and Data Structures to Excel in Programming Contests,12 hours,On-Demand,Paid Course,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/d163531ee993.jpg,No rating available,No,English
https://www.classcentral.com/course/udemy-competitive-programming-for-beginners-125302,Competitive Programming for Beginners,N/A,Udemy,beginner,False,Programming,False,0,0,,False,True,125302,course,N/A,Get started with your competitive programming journey by learning the building blocks of CP's world.,1-2 hours,On-Demand,Free Online Course,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/a9fdb97c4f46.jpg,No rating available,Yes,English
https://www.classcentral.com/course/udemy-mastering-coding-interviews-and-competition-69276,Mastering Coding Interviews & Competitions,N/A,Udemy,intermediate,True,Software Development,False,0,0,,False,False,69276,course,N/A,Problems & Solutions to Easy/Medium/Hard Coding Interview Problems,1 hour 52 minutes,On-Demand,Paid Course,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/a6a8ec0e4365.jpg,No rating available,No,English
https://www.classcentral.com/course/swayam-in-order-of-preference-algorithmic-puzzles-algorithms-43601,Getting Started with Competitive Programming,"NPTEL, IIT Gandhinagar",Swayam,,True,Programming,True,0,0,NPTEL,False,True,43601,course,N/A,"Deepen your understanding of algorithmic techniques and prepare for coding competitions. Learn advanced sorting, greedy algorithms, graph theory, and dynamic programming through problem-solving and implementation.",12 weeks,On-Demand,Free Online Course,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/5f95539ac562.jpg,No rating available,Yes,English
https://www.classcentral.com/classroom/youtube-programming-as-a-sport-what-do-you-mean-ahto-truu-accu-2021-249760,Programming as a Sport - What Do You Mean?,ACCU Conference,YouTube,,False,ACCU Conference,False,0,0,ACCU Conference,True,True,249760,course,N/A,"Explore competitive programming: its world, challenges, and relationship to software engineering. Gain insights into this intellectual sport and its potential for skill development.",31 minutes,On-Demand,Conference Talk,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/970037bbee7e.jpg,No rating available,No,English
https://www.classcentral.com/classroom/youtube-rag-for-code-generation-an-ai-hacker-cup-example-307082,RAG for Code Generation - AI Hacker Cup Example,Weights & Biases,YouTube,,False,Retrieval Augmented Generation,False,0,0,Weights & Biases,True,True,307082,course,N/A,"Explore advanced LLM-powered competitive programming using RAG for code generation. Learn to design robust architectures, implement AST-based similarity search, and enhance few-shot learning for AI agents.",52 minutes,On-Demand,Free Video,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/b8dc65255d7a.jpg,No rating available,Yes,English
https://www.classcentral.com/classroom/youtube-rustconf-2023-using-rust-and-battlesnake-to-never-stop-learning-282656,Using Rust and Battlesnake to Never Stop Learning,Rust,YouTube,,False,Rust,False,0,0,Rust,True,True,282656,course,N/A,"Explore how Rust and Battlesnake can enhance continuous learning, fostering skill development and problem-solving in a fun, competitive environment.",24 minutes,On-Demand,Free Video,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/1a89924a00fa.jpg,No rating available,Yes,English
https://www.classcentral.com/classroom/youtube-competitive-programming-with-alphacode-338923,Competitive Programming with AlphaCode - DeepMind's AI System for Code Generation,Neurosymbolic Programming for Science,YouTube,,False,Uncategorized,False,0,0,Neurosymbolic Programming for Science,True,True,338923,course,N/A,"Explore AlphaCode's groundbreaking AI system for competitive programming, learning its architecture, training, and evaluation on Codeforces platform to enhance problem-solving skills.",57 minutes,On-Demand,Free Video,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/3fe6d9fa764e.jpg,No rating available,Yes,English
https://www.classcentral.com/classroom/youtube-google-gemini-ai-full-video-the-only-competitor-against-chatgpt-gpt-4-1-on-benchmarks-273275,Google Gemini AI: Comprehensive Overview and Capabilities,Software Engineering Courses - SE Courses,YouTube,,False,Artificial Intelligence,False,0,0,Software Engineering Courses - SE Courses,True,True,273275,course,N/A,"Explore Google's Gemini AI: a multimodal model excelling in programming, scientific analysis, math reasoning, and creative tasks. Witness its capabilities in understanding diverse data types and generating innovative solutions.",43 minutes,On-Demand,Free Video,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/ffcd440288a9.jpg,No rating available,Yes,English
https://www.classcentral.com/classroom/youtube-code100-europe-s-ultimate-coding-competition-premiere-at-wearedevelopers-world-congress-2023-251807,Europe's Ultimate Coding Competition,WeAreDevelopers,YouTube,,False,WeAreDevelopers World Congress,False,0,0,WeAreDevelopers,True,True,251807,course,N/A,Experience Europe's ultimate coding competition with 100 challengers battling through 5 elimination rounds. Witness the fusion of coding skills and party atmosphere as developers compete for the champion title.,2 hours 26 minutes,On-Demand,Conference Talk,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/6ec9daafbabb.jpg,No rating available,No,English
https://www.classcentral.com/classroom/youtube-onward-competitive-debugging-toward-contests-promoting-debugging-as-a-skill-347745,Competitive Debugging: Toward Contests Promoting Debugging as a Skill,ACM SIGPLAN,YouTube,,False,Software Development,False,0,0,ACM SIGPLAN,True,True,347745,course,N/A,"Explore competitive debugging as a novel approach to enhance software development skills through engaging contests, promoting debugging techniques and tool adoption.",31 minutes,On-Demand,Free Video,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/39d71c822cb2.jpg,No rating available,Yes,English
https://www.classcentral.com/classroom/youtube-advent-of-code-garden-get-fancy-with-advent-of-code-a-peek-at-problems-9-11-120847,Advent of Code: Solving Problems 9-11 - Tips and Tricks,N/A,YouTube,,False,Python,False,0,0,Microsoft,True,True,120847,course,N/A,"Explore Python solutions for Advent of Code problems 9-11. Learn methodologies, tips, and tricks for tackling complex algorithmic challenges and improving your programming skills.",1 hour 19 minutes,On-Demand,Free Video,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/c0f77c57ba6a.jpg,No rating available,Yes,English
https://www.classcentral.com/classroom/youtube-alphacode-explained-ai-code-generation-127026,AlphaCode Explained - AI Code Generation,Edan Meyer,YouTube,,False,Natural Language Processing (NLP),False,0,0,Edan Meyer,True,True,127026,course,N/A,"Explore DeepMind's AlphaCode, a powerful AI model for code generation. Learn its workings, competitive programming applications, and key insights from recent research.",33 minutes,On-Demand,Free Video,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/22e5a05186f1.jpg,No rating available,Yes,English
https://www.classcentral.com/classroom/youtube-coding-adventure-with-kaggle-and-lux-ai-108677,Coding Adventure with Kaggle and Lux AI,sentdex,YouTube,,False,Artificial Intelligence,False,0,0,sentdex,True,True,108677,course,N/A,"Journey through coding a Python AI agent for the Lux AI Kaggle competition, exploring organizational strategies, empire-building techniques, and self-preservation tactics in competitive AI development.",28 minutes,On-Demand,Free Video,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/88be85426bd5.jpg,No rating available,Yes,English
https://www.classcentral.com/classroom/freecodecamp-10-common-coding-interview-problems-solved-104880,10 Common Coding Interview Problems - Solved!,N/A,freeCodeCamp,,False,Algorithms and Data Structures,False,0,0,,True,True,104880,course,N/A,"Enhance problem-solving skills by mastering 10 common coding interview challenges, from anagrams to dynamic programming, with step-by-step solutions and explanations.",2-3 hours,On-Demand,Free Video,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/e98d3661537f.jpg,No rating available,Yes,English
https://www.classcentral.com/classroom/youtube-competition-level-code-generation-with-alphacode-paper-review-162534,Competition-Level Code Generation with AlphaCode - Paper Review,Yannic Kilcher,YouTube,,False,Code Generation,False,0,0,Yannic Kilcher,True,True,162534,course,N/A,"Explore DeepMind's AlphaCode system for solving competitive programming problems, its architecture, and performance in real competitions. Learn about key components and innovative techniques.",45 minutes,On-Demand,Free Video,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/d6975c8c519c.jpg,No rating available,Yes,English
https://www.classcentral.com/classroom/youtube-fun-with-algorithms-tess-ferrandez-norlander-ndc-london-2023-213543,Fun with Algorithms,NDC Conferences,YouTube,,False,NDC Conferences,False,0,0,NDC Conferences,True,True,213543,course,N/A,"Explore problem-solving techniques through graph algorithms, dynamic programming, and data structures. Learn to build solutions from first principles and apply algorithmic skills to real-world programming challenges.",57 minutes,On-Demand,Conference Talk,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/73ff63c43fa9.jpg,No rating available,No,English
